Fe1,Fe2,Fe3,Fe4,Fe5,Fe6,Fe7,Fe8,Fe9,Fe10,Fe11,Fe12,Target
13.925822269904945,-9.69236892454165,3.753776146737433,1.327168453875383,2.9755341624165936,-7.993735193178593,-0.5753048924247999,-7.07183759624253,-8.51176825527089,-1.6507433133389269,-2.7216068723752938,-5.4121304218338215,0.0
14.055518571869705,-8.598111855448352,-0.3832196572630618,-7.007748066741584,-1.833112120351136,-7.642512398735048,4.104115156288147,-0.7132020930181557,-4.82646004923962,-2.5949678886069485,-5.88891916156037,-5.624817161065433,1.0
13.864093769192422,-8.834996671474876,1.500128843156974,-7.639205482369639,2.511518576639838,-0.7711408492852412,4.45137227172932,-5.286776248910519,-12.323967651657489,-8.869541830872953,-5.942759319116839,-6.046688126827747,2.0
14.147139736006105,-8.770025740963247,2.766290715802244,-7.52864559787253,-3.671170933608752,-10.579631146469383,1.028020937669121,-1.223803173772806,-4.780218943904034,-0.33683000614363784,0.4873145193820158,-3.639368155972125,3.0
12.662123926620607,-21.488978025914346,-4.017698770808004,-10.28652450716454,-3.5376870818456525,-6.191113836131621,2.452088811087489,-0.0022516012775110924,-2.0345077175355346,-1.5157112936039332,0.14574057959454662,0.6185330644583976,4.0
14.443147633350794,-7.347399268321936,0.3255477509503066,-6.2120404684654815,1.091953761517526,-8.25023437990136,3.856217577877626,0.6553083873643207,-7.771474288900549,-4.63212621900628,-2.7268056667267944,-2.9533504652445,5.0
14.488744874700055,-26.43005744071466,-5.613101947335162,-3.064176626821306,4.2585473393040525,-7.370087061263304,3.7050198263177836,2.5721140691208464,-5.976996018768232,-5.400175470196246,-1.0129896045233215,-0.6579132211004171,6.0
13.860042364494214,-17.552820583230407,-6.357278973763872,-5.7706548245935885,5.332191301456836,-7.1437503906041275,1.9413739710426208,-1.0425691964587491,-6.6230509443689645,-4.6241347620724955,-2.034856299739392,1.0544030283978596,7.0
12.515548700937526,-19.391260924082857,-3.1989477257369714,-7.848074797115268,0.21516727900115554,-3.5790372434269995,4.5355294362364695,-1.8886825947346029,-7.30959640248591,-4.392101611211147,-2.7621315131997988,-4.0290650684184985,8.0
14.824173071817714,-12.688847166773913,-2.554576425050662,-10.400692371190793,1.6746762916666809,-3.3617081601289636,3.7284882159961854,-0.7049068950512983,-7.783961816336937,-5.7754046765675975,-4.891945899864169,-4.254270409752676,9.0
18.02510339604728,-18.068895478762407,-1.596342545044758,-3.5786505578797967,-0.9500867950634928,-9.921390717678236,0.023553244303927967,-4.4490260950530285,-8.481821287692888,-3.759293738765064,-1.8710415789561599,-0.9345634626493148,0.0
11.477147306534462,-20.034510943256397,-5.2301173506518,-6.515918000895272,3.1077161411567085,-3.8320761969417165,1.8455644601046293,-2.1271024993047023,-2.1270858941487534,-0.08163791978415147,-0.817175631489255,-3.3759865362010952,1.0
7.5168852784295295,-14.062627362858874,-8.39615201704263,-7.082749619007744,3.636165532724023,-3.1498597064501275,5.122832175226455,-0.4809882091812194,-2.5789376763172402,0.930882288744174,-2.709488169906856,-3.9548435539921654,2.0
8.199848088434662,-12.168977844561935,-9.266058218052256,-9.446504587698207,0.3863324602320027,-4.070979650903412,7.342198639370753,-2.253853184736601,-4.916037178751577,5.005534145933621,0.6788996500013667,-2.9794591571350506,3.0
8.143589027767769,-14.762460523399513,-8.199496128079923,-9.728528982964225,-1.2193289273522618,-7.578167244424843,3.161020172946308,-1.7466809043627909,-4.995864324346479,-0.5333575535805825,-2.076652159355336,-2.532872188751825,4.0
9.30595536347632,-8.74335998075494,-13.622528305979765,-10.179767897649057,-0.7845503606154598,-6.914152550033751,11.518306441224553,1.6189565197264884,-3.647514470751851,7.385260948112744,-0.23777722880530186,-4.745844087400698,5.0
8.217240651109227,-13.35439157574076,-9.859049228090653,-9.785275325510737,0.9686049008944996,-0.3800398613721577,12.258573660042211,3.622804506798548,-3.974407626681187,-1.9201392368714087,-1.8283249811405409,-1.9145472793589369,6.0
8.642409510134755,-7.8819897569435176,-12.912854444775071,-19.003404960035006,-4.4190053704995576,-2.338596510550164,12.396759663082811,2.852824243924067,-5.048900104095777,1.268271264383006,-4.1101442475947705,-4.967428780698276,7.0
9.476175972878938,-6.625138238275071,-13.599998922345351,-17.632289315739197,-6.260305744417268,-4.509939988939059,14.56351061872899,-0.0073848636477470185,-8.88911455937168,2.748075672298356,-2.7178688132700954,-6.2715676551246275,8.0
9.80628693548179,-10.296012977904988,-19.54946689586733,-13.050677054841561,-0.8818595606408679,-4.885503485577367,14.12522272289005,-0.7943146399193693,-5.03000614639642,7.413139995997544,-5.799098172418572,-6.688583772634632,9.0
10.148152705730972,-24.481059288809966,-1.4758774811704698,-5.274320832518482,0.4789894443630785,-6.866539436462532,0.02575381369500585,-4.477361179916637,-5.597407387119627,-0.8842340795928764,-0.7013804575453263,-2.4735813215925404,0.0
10.217274179730053,-23.53990758116875,-2.584975144706491,-7.242915980636983,-0.17355789442805133,-5.330755917570092,2.178920248055142,1.7458752115319307,1.0345572419197642,2.5248482826830716,0.8390568709996616,-2.923962366412409,1.0
10.657079464489758,-18.674642383109358,-1.0387333541468384,-2.9290695683188166,3.7951762113039416,-3.658666182551945,4.012198354939627,-1.3685306190295723,-4.067662283903596,-0.7882222151999827,-2.192762467657388,-4.376285324814583,2.0
10.420641859694044,-22.879003627285343,-3.024357084373344,-8.222600341402936,-1.568337330742806,-9.408834533768797,-3.178221761764612,-2.228171716456302,0.9694618965787886,4.828690820715913,3.3407548934229947,-1.1010169429356291,3.0
10.257668402768036,-24.033427007418073,-7.329954177530991,-10.628269530323813,-2.294174325398255,-8.749283889313286,2.0542354124292714,2.1975390989830523,-1.138129916222959,0.8864366062651371,2.5624817026283155,1.2426044044842477,4.0
